小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
华高一村,2室1厅0厨1卫,77.58㎡,340,43826元/平米,南,无,浦东 高行 中环至外环,近12号线金京路站
平阳三街坊,2室1厅1厨1卫,71.75㎡,410,57143元/平米,南,无,闵行 古美 中环至外环,近12号线虹莘路站
钦州路111弄,2室1厅1厨1卫,77.91㎡,488,62637元/平米,东,有,徐汇 康健 内环至中环,近1号线漕宝路站
绿地崴廉公寓,2室2厅1厨1卫,92.56㎡,480,51859元/平米,南,有,浦东 高行 中环至外环,近12号线金京路站
伟业金锦苑一村,2室2厅1厨1卫,84.39㎡,438,51902元/平米,南,无,浦东 高行 中环至外环,近12号线东陆路站
莱阳新家园,3室2厅1厨1卫,96.33㎡,440,45677元/平米,南,无,浦东 金桥 中环至外环,近12号线东陆路站
同济融创玫瑰公馆,2室1厅1厨1卫,72.34㎡,380,52530元/平米,北,有,闵行 古美 中环至外环,近12号线虹梅路站
莲花公寓(闵行),2室2厅0厨1卫,87.27㎡,498,57065元/平米,南,无,闵行 古美 中环至外环,近12号线顾戴路站
莱阳新家园,3室1厅1厨1卫,89.27㎡,395,44248元/平米,南,无,浦东 金桥 中环至外环,近12号线东陆路站
宜嘉苑,2室2厅1厨1卫,93.5㎡,469,50161元/平米,南,无,浦东 高行 中环至外环,近12号线杨高北路站
同济融创玫瑰公馆,2室1厅1厨1卫,72.9㎡,430,58985元/平米,北,有,闵行 古美 中环至外环,近12号线虹梅路站
