价格 ,成色,净度,克拉重量,荧光,钻身高度,桌面,抛光度,对称度,腰棱,底尖,量度尺寸,编号
,I信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,60.2%信息depth--column-1,59.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.36 x 4.33 x 2.61 毫米,LD11130531
,H信息color-column-1,SI2信息clarity-column-1,0.25,无信息fluorescence-column-1,64.9%信息depth--column-1,58.0%信息table--column-1,良好信息polish-column-1,良好信息symmetry-column-1,厚至很厚信息girdle-column-1,无信息culet-column-1,3.95 x 3.97 x 2.57 毫米,LD13761550
,J信息color-column-1,SI2信息clarity-column-1,0.32,微弱信息fluorescence-column-1,60.2%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中度信息girdle-column-1,无信息culet-column-1,4.46 x 4.42 x 2.67 毫米,LD12168359
,I信息color-column-1,SI2信息clarity-column-1,0.31,无信息fluorescence-column-1,61.9%信息depth--column-1,65.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,4.25 x 4.23 x 2.63 毫米,LD13108675
,J信息color-column-1,SI2信息clarity-column-1,0.31,微弱信息fluorescence-column-1,61.8%信息depth--column-1,58.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.34 x 4.33 x 2.68 毫米,LD12168388
,K信息color-column-1,VS1信息clarity-column-1,0.30,微弱信息fluorescence-column-1,63.8%信息depth--column-1,58.0%信息table--column-1,非常好信息polish-column-1,相当好信息symmetry-column-1,薄至略厚信息girdle-column-1,无信息culet-column-1,4.23 x 4.20 x 2.69 毫米,LD12744306
,J信息color-column-1,SI2信息clarity-column-1,0.31,微弱信息fluorescence-column-1,62.7%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.33 x 4.30 x 2.71 毫米,LD12168384
,K信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,63.9%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,厚信息girdle-column-1,无信息culet-column-1,4.19 x 4.21 x 2.68 毫米,LD12763401
,K信息color-column-1,SI2信息clarity-column-1,0.31,中度信息fluorescence-column-1,62.1%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,4.31 x 4.33 x 2.68 毫米,LD13630124
,J信息color-column-1,SI1信息clarity-column-1,0.30,中度信息fluorescence-column-1,61.0%信息depth--column-1,59.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.33 x 4.30 x 2.63 毫米,LD12058611
