小区,户型,面积,价格,单价,朝向,电梯,位置,地铁,信息
美丽星城,2室2厅1厨1卫,86.99㎡,340.9,39189元/平米,南,有,松江 九亭 外环外,近9号线九亭站,2室2厅中楼层/共16层南平层/简装86.99平米2004年建/板楼诚心卖，省心买
星金家园,3室2厅1厨2卫,109.92㎡,420,38210元/平米,南,有,浦东 曹路 外环外,近9号线曹路站,3室2厅低楼层/共18层南平层/精装109.92平米2012年建/板楼
丰怡苑,2室2厅1厨1卫,89.85㎡,300,33389元/平米,南,无,浦东 曹路 外环外,近9号线曹路站,2室2厅高楼层/共6层南平层/精装89.85平米2006年建/板楼
绿地蔷薇九里(公寓),3室2厅1厨1卫,92.08㎡,360,39097元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,3室2厅低楼层/共11层南平层/精装92.08平米2012年建/板楼
星金家园,2室1厅1厨1卫,82.33㎡,317,38504元/平米,南,有,浦东 曹路 外环外,近9号线曹路站,2室1厅低楼层/共18层南平层/毛坯82.33平米2012年建/板楼
东明花苑,2室2厅1厨1卫,97.7㎡,324,33163元/平米,南 北,无,松江 松江新城 外环外,近9号线松江新城站,2室2厅中楼层/共7层南 北平层/简装97.7平米2003年建/板楼
御上海,2室1厅1厨2卫,99.63㎡,417,41855元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室1厅中楼层/共17层南平层/精装99.63平米2009年建/板楼
万兆家园(一期),2室2厅1厨1卫,76.39㎡,420,54982元/平米,南,无,闵行 七宝 外环外,近9号线七宝站,2室2厅高楼层/共6层南平层/精装76.39平米2000年建/板楼
江中公寓,2室2厅1厨1卫,93.68㎡,327,34907元/平米,南,无,松江 松江新城 外环外,近9号线松江新城站,2室2厅高楼层/共6层南平层/精装93.68平米2000年建/板楼
河滨城市花园,2室1厅1厨1卫,74.13㎡,355,47889元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站,2室1厅高楼层/共6层南平层/简装74.13平米2006年建/板楼
星金家园,2室2厅1厨1卫,82.13㎡,320,38963元/平米,南,有,浦东 曹路 外环外,近9号线曹路站,2室2厅中楼层/共18层南平层/精装82.13平米2012年建/板楼
河滨城市花园,2室2厅1厨1卫,89㎡,460,51686元/平米,南 北,有,浦东 曹路 外环外,近9号线顾唐路站,2室2厅中楼层/共11层南 北平层/精装89平米2006年建/板楼
万兆家园(一期),3室2厅1厨1卫,86.5㎡,498,57573元/平米,南,无,闵行 七宝 外环外,近9号线七宝站,3室2厅高楼层/共6层南平层/精装86.5平米2000年建/板楼
新凯一期,3室2厅1厨1卫,97.93㎡,311.8,31840元/平米,南 北,有,松江 泗泾 ,近9号线佘山站,3室2厅低楼层/共11层南 北平层/简装97.93平米2006年建/板楼
米兰诺贵都,2室2厅1厨1卫,90.93㎡,328,36072元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共19层南平层/精装90.93平米2013年建/板楼
新凯一期,3室2厅1厨1卫,92.95㎡,306.6,32986元/平米,南 北,无,松江 泗泾 ,近9号线佘山站,3室2厅高楼层/共6层南 北平层/精装92.95平米2006年建/板楼
嘉和阳光城,2室2厅1厨1卫,101.15㎡,460,45478元/平米,南,有,松江 九亭 外环外,近9号线九亭站,2室2厅中楼层/共14层南平层/精装101.15平米2006年建/板楼
三湘四季花城,2室2厅1厨1卫,71.94㎡,322,44760元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅低楼层/共18层南平层/精装71.94平米2010年建/板楼
金钻苑北区,2室2厅1厨2卫,90.86㎡,369,40612元/平米,南,无,浦东 曹路 外环外,近9号线曹路站,2室2厅高楼层/共6层南平层/精装90.86平米2009年建/板楼
三湘四季花城,3室2厅1厨1卫,102.75㎡,480,46716元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,3室2厅高楼层/共18层南平层/简装102.75平米2010年建/板楼
丰舍东苑,3室2厅1厨2卫,107.42㎡,428,39844元/平米,南 北,无,浦东 曹路 外环外,近9号线民雷路站,3室2厅中楼层/共6层南 北平层/精装107.42平米2005年建/板楼
新凯一期,3室2厅1厨1卫,97.93㎡,330,33698元/平米,南,有,松江 泗泾 ,近9号线佘山站,3室2厅高楼层/共11层南平层/精装97.93平米2006年建/板楼
米兰诺贵都,3室2厅1厨1卫,90.2㎡,364.5,40411元/平米,南 北,有,松江 泗泾 外环外,近9号线佘山站,3室2厅中楼层/共16层南 北平层/精装90.2平米2013年建/板楼
米兰诺贵都,2室2厅1厨1卫,89.48㎡,323,36098元/平米,南 东南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共19层南 东南平层/毛坯89.48平米2013年建/板楼
星辰园(公寓),2室2厅1厨1卫,92.99㎡,385,41403元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅高楼层/共18层南平层/精装92.99平米2005年建/板楼
