小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
绿地崴廉公寓,2室2厅1厨1卫,97.46㎡,495,50791元/平米,南,有,浦东 高行 中环至外环,
绿川新苑,2室2厅1厨1卫,79.11㎡,395,49931元/平米,南,无,浦东 北蔡 内环至中环,
绿地康桥新苑,3室2厅1厨2卫,78.09㎡,374,47894元/平米,南 北,无,浦东 康桥 外环外,
华高一村,2室1厅0厨1卫,77.58㎡,340,43826元/平米,南,无,浦东 高行 中环至外环,近12号线金京路站
星晓家园,2室2厅1厨1卫,82.84㎡,307,37060元/平米,南,有,浦东 曹路 外环外,
龚路新城,3室2厅1厨1卫,100.47㎡,321,31950元/平米,南,无,浦东 曹路 外环外,
杉林新月环林东路875弄,2室2厅1厨1卫,83.37㎡,457,54816元/平米,南,有,浦东 三林 中环至外环,
三林新村(永泰路258弄),3室1厅1厨1卫,88.82㎡,480,54042元/平米,南,有,浦东 三林 中环至外环,
美林小城,2室2厅1厨1卫,84.49㎡,365,43201元/平米,南,有,浦东 康桥 外环外,
保利林语溪(公寓),2室2厅1厨1卫,88.12㎡,440,49932元/平米,南,有,浦东 三林 外环外,
三林世博家园(大道站路94弄),2室1厅1厨1卫,85.12㎡,400,46993元/平米,南 北,无,浦东 杨思前滩 内环至中环,
印象春城,2室2厅1厨1卫,91.57㎡,388,42372元/平米,南 北,有,浦东 周浦 外环外,
城中花园,2室2厅1厨2卫,104.35㎡,395,37854元/平米,南,有,浦东 康桥 外环外,
浦发春晖新苑,2室2厅1厨1卫,88.98㎡,398,44730元/平米,南,有,浦东 外高桥 中环至外环,
印象春城,2室2厅1厨1卫,89.95㎡,390,43358元/平米,南 北,有,浦东 周浦 外环外,
绿地东上海二期,2室2厅1厨1卫,88.04㎡,426,48388元/平米,南 北,有,浦东 周浦 外环外,
繁荣安居,2室2厅1厨1卫,84.2㎡,323,38362元/平米,南 北,无,浦东 周浦 外环外,
绿波城,2室2厅1厨1卫,86.83㎡,365,42037元/平米,南 北,无,浦东 唐镇 外环外,
品珍苑,2室1厅1厨1卫,74.14㎡,373,50311元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林东站
中邦城市,2室2厅1厨1卫,98.34㎡,499,50743元/平米,南,有,浦东 康桥 外环外,
杉林新月环林东路875弄,2室2厅1厨1卫,83.33㎡,477,57243元/平米,南,有,浦东 三林 中环至外环,
新高苑(一期),2室2厅1厨1卫,85.95㎡,410,47703元/平米,南,无,浦东 高行 中环至外环,
美林小城,3室2厅1厨1卫,97.22㎡,430,44230元/平米,南 北,无,浦东 康桥 外环外,
浦发绿城永泰路2079弄,2室2厅1厨1卫,79.21㎡,355,44818元/平米,南,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
明天华城,2室1厅1厨1卫,84.52㎡,380,44960元/平米,南,无,浦东 周浦 外环外,
金钻苑北区,2室1厅1厨2卫,90.86㎡,320,35220元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
绿波城,2室2厅0厨1卫,86.74㎡,381,43925元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
浦发绿城浦三路2801弄,2室1厅1厨1卫,74.87㎡,347,46348元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
三林世博家园(大道站路94弄),2室2厅1厨1卫,83.75㎡,385,45971元/平米,南,无,浦东 杨思前滩 内环至中环,
浦发绿城浦三路2801弄,2室1厅1厨1卫,76.24㎡,360,47220元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
新芳邻,2室2厅1厨1卫,86.67㎡,379,43730元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站
安阁苑,3室2厅0厨1卫,94.48㎡,333,35246元/平米,南,无,浦东 周浦 外环外,
